1404, pdata: 4 (0,0,4) 
30: [+29.205616,+46.173103,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
31: [+29.467356,+46.229870,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
32: [+29.827061,+46.166687,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
33: [+29.137615,+46.504116,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
34: [+29.550869,+46.496716,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
35: [+29.832321,+46.467060,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
36: [+30.152824,+45.852230,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
37: [+30.549763,+45.874016,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
38: [+30.891993,+45.803440,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
39: [+30.106831,+46.171394,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
40: [+30.458609,+46.214767,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
41: [+30.861563,+46.163269,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
42: [+30.217495,+46.579994,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
43: [+30.445452,+46.511276,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
44: [+30.895409,+46.498508,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
45: [+31.183985,+45.797394,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
46: [+31.439808,+45.792107,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
47: [+31.788757,+45.860455,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
48: [+31.118870,+46.115593,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
49: [+31.541147,+46.173061,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
