1404, pdata: 4 (0,0,4) 
30: [+29.205616,+46.493103,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
31: [+29.467356,+46.549870,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
32: [+29.827061,+46.486687,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
33: [+29.137615,+46.824116,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
34: [+29.550869,+46.816715,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
35: [+29.832321,+46.787060,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
36: [+30.152824,+46.172230,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
37: [+30.549763,+46.194016,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
38: [+30.891993,+46.123440,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
39: [+30.106831,+46.491394,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
40: [+30.458609,+46.534767,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
41: [+30.861563,+46.483269,+0.500000] , 1. [+0.000000,-0.064000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
