1404, pdata: 4 (0,0,4) 
0: [+26.122849,+44.362946,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
1: [+26.453651,+44.464191,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
2: [+26.898863,+44.436523,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
3: [+26.112722,+44.692818,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
4: [+26.557117,+44.781094,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
5: [+26.849995,+44.692574,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
6: [+26.138176,+45.040154,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
7: [+26.462387,+45.128468,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
8: [+26.819349,+45.093468,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
9: [+27.153780,+44.447773,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
10: [+27.494139,+44.416588,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
11: [+27.813742,+44.466774,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
12: [+27.153406,+44.681103,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
13: [+27.490547,+44.713627,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
14: [+27.873196,+44.717361,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
15: [+27.105312,+45.132423,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
16: [+27.469255,+45.032230,+0.500000] , 1. [+0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
17: [+27.878544,+45.097473,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
18: [+28.123091,+44.446804,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
19: [+28.439552,+44.409519,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
20: [+28.845465,+44.446987,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
21: [+28.226366,+44.690971,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
22: [+28.520102,+44.740601,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
23: [+28.832155,+44.682930,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
24: [+28.162525,+45.035618,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
25: [+28.546179,+45.098965,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
26: [+28.770546,+45.074448,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
27: [+29.172895,+44.437286,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
28: [+29.528704,+44.442265,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
29: [+29.772995,+44.390385,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
30: [+29.205616,+44.733105,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
31: [+29.467356,+44.789871,+0.500000] , 1. [-0.000000,-0.704000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
