1404, pdata: 4 (0,0,4) 
0: [+26.122849,+41.770943,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
1: [+26.453651,+41.872189,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
2: [+26.898863,+41.844521,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
3: [+26.112722,+42.100815,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
4: [+26.557117,+42.189091,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
5: [+26.849995,+42.100571,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
6: [+26.138176,+42.448151,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
7: [+26.462387,+42.536465,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
8: [+26.819349,+42.501465,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
9: [+27.153780,+41.855770,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
10: [+27.494139,+41.824585,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
11: [+27.813742,+41.874771,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
12: [+27.153406,+42.089100,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
13: [+27.490547,+42.121624,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
14: [+27.873196,+42.125359,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
15: [+27.105312,+42.540421,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
16: [+27.469255,+42.440228,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
17: [+27.878544,+42.505470,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
18: [+28.123091,+41.854801,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
19: [+28.439552,+41.817516,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
20: [+28.845465,+41.854984,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
21: [+28.226366,+42.098969,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
22: [+28.520102,+42.148598,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
23: [+28.832155,+42.090927,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
24: [+28.162525,+42.443615,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
25: [+28.546179,+42.506962,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
26: [+28.770546,+42.482445,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
27: [+29.172895,+41.845284,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
28: [+29.528704,+41.850262,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
29: [+29.772995,+41.798382,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
30: [+29.205616,+42.141102,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
31: [+29.467356,+42.197868,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
32: [+29.827061,+42.134686,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
33: [+29.137615,+42.472115,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
34: [+29.550869,+42.464714,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
35: [+29.832321,+42.435059,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
36: [+30.152824,+41.820229,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
37: [+30.549763,+41.842014,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
38: [+30.891993,+41.771439,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
39: [+30.106831,+42.139393,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
40: [+30.458609,+42.182766,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
41: [+30.861563,+42.131268,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
42: [+30.217495,+42.547993,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
43: [+30.445452,+42.479275,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
44: [+30.895409,+42.466507,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
45: [+31.183985,+41.765392,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
46: [+31.439808,+41.760105,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
47: [+31.788757,+41.828453,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
48: [+31.118870,+42.083591,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
49: [+31.541147,+42.141060,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
50: [+31.883717,+42.094276,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
51: [+31.168335,+42.474476,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
52: [+31.551752,+42.424900,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
53: [+31.825630,+42.440453,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
54: [+32.145584,+41.881031,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
55: [+32.473881,+41.801205,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
56: [+32.822876,+41.787018,+0.500000] , 1. [+0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
57: [+32.152546,+42.189411,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
58: [+32.463303,+42.183338,+0.500000] , 1. [-0.000000,-1.088000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
