1404, pdata: 4 (0,0,4) 
0: [+26.122849,+44.970943,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
1: [+26.453651,+45.072189,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
2: [+26.898863,+45.044521,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
3: [+26.112722,+45.300816,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
4: [+26.557117,+45.389091,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
5: [+26.849995,+45.300571,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
6: [+26.138176,+45.648151,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
7: [+26.462387,+45.736465,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
8: [+26.819349,+45.701466,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
9: [+27.153780,+45.055771,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
10: [+27.494139,+45.024586,+0.500000] , 1. [+0.000000,-0.576000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
