1404, pdata: 4 (0,0,4) 
30: [+29.205616,+43.997105,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
31: [+29.467356,+44.053871,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
32: [+29.827061,+43.990688,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
33: [+29.137615,+44.328117,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
34: [+29.550869,+44.320717,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
35: [+29.832321,+44.291061,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
36: [+30.152824,+43.676231,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
37: [+30.549763,+43.698017,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
38: [+30.891993,+43.627441,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
39: [+30.106831,+43.995396,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
40: [+30.458609,+44.038769,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
41: [+30.861563,+43.987270,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
42: [+30.217495,+44.403996,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
43: [+30.445452,+44.335278,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
44: [+30.895409,+44.322510,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
45: [+31.183985,+43.621395,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
46: [+31.439808,+43.616108,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
47: [+31.788757,+43.684456,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
48: [+31.118870,+43.939594,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
49: [+31.541147,+43.997063,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
50: [+31.883717,+43.950279,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
51: [+31.168335,+44.330479,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
52: [+31.551752,+44.280903,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
53: [+31.825630,+44.296455,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
54: [+32.145584,+43.737034,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
55: [+32.473881,+43.657207,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
56: [+32.822876,+43.643021,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
57: [+32.152546,+44.045414,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
58: [+32.463303,+44.039341,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
59: [+32.872761,+44.011299,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
60: [+32.207577,+44.379803,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
61: [+32.544460,+44.315891,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
62: [+32.773670,+44.355541,+0.500000] , 1. [+0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
63: [+33.142303,+43.611637,+0.500000] , 1. [-0.000000,-0.832000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
