1404, pdata: 4 (0,0,4) 
30: [+29.205616,+46.397102,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
31: [+29.467356,+46.453869,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
32: [+29.827061,+46.390686,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
33: [+29.137615,+46.728115,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
34: [+29.550869,+46.720715,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
35: [+29.832321,+46.691059,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
36: [+30.152824,+46.076229,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
37: [+30.549763,+46.098015,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
38: [+30.891993,+46.027439,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
39: [+30.106831,+46.395393,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
40: [+30.458609,+46.438766,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
41: [+30.861563,+46.387268,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
42: [+30.217495,+46.803993,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
43: [+30.445452,+46.735275,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
44: [+30.895409,+46.722507,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
45: [+31.183985,+46.021393,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
46: [+31.439808,+46.016106,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
47: [+31.788757,+46.084454,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
48: [+31.118870,+46.339592,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
49: [+31.541147,+46.397060,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
50: [+31.883717,+46.350277,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
51: [+31.168335,+46.730476,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
52: [+31.551752,+46.680901,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
53: [+31.825630,+46.696453,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
54: [+32.145584,+46.137032,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
55: [+32.473881,+46.057205,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
56: [+32.822876,+46.043018,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
57: [+32.152546,+46.445412,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
58: [+32.463303,+46.439339,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
59: [+32.872761,+46.411297,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
60: [+32.207577,+46.779800,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
61: [+32.544460,+46.715889,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
62: [+32.773670,+46.755539,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
63: [+33.142303,+46.011635,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
64: [+33.502468,+46.097912,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
65: [+33.791725,+46.128498,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
66: [+33.225315,+46.367786,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
67: [+33.535233,+46.369144,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
68: [+33.817600,+46.347614,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
69: [+33.219772,+46.794518,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
70: [+33.561031,+46.690201,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
71: [+33.869625,+46.757771,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
72: [+34.177883,+46.060303,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
73: [+34.547924,+46.038681,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
74: [+34.869041,+46.042503,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
75: [+34.150482,+46.348492,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
76: [+34.486000,+46.338051,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
